NominalSize;OutsideDiameter;Length
20x15;20 x 15;26.7 x 21.3;38.1
25x15;25 x 15;33.4 x 21.3;50.8
25x20;25 x 20;33.4 x 26.7;50.8
32x15;32 x 15;42.2 x 21.3;50.8
32x20;32 x 20;42.2 x 26.7;50.8
32x25;32 x 25;42.2 x 33.4;50.8
40x15;40 x 15;48.3 x 21.3;63.5
40x20;40 x 20;48.3 x 26.7;63.5
40x25;40 x 25;48.3 x 33.4;63.5
40x32;40 x 32;48.3 x 33.4;63.5
50x15;50 x 15;60.3 x 21.3;72.2
50x20;50 x 20;60.3 x 26.7;72.2
50x25;50 x 25;60.3 x 33.4;72.2
50x32;50 x 32;60.3 x 42.2;72.2
50x40;50 x 40;60.3 x 48.3;72.2
65x25;65 x 25;73.0 x 33.4;88.9
65x32;65 x 32;73.0 x 42.2;88.9
65x40;65 x 40;73.0 x 48.8;88.9
65x50;65 x 50;73.0 x 60.3;88.9
80x25;80 x 25;88.9 x 33.4;88.9
80x32;80 x 32;88.9 x 42.2;88.9
80x40;80 x 40;88.9 x 48.3;88.9
80x50;80 x 50;88.9 x 60.3;88.9
80x65;80 x 65;88.9 x 73.0;88.9
100x25;100 x 25;114.3 x 33.4;101.6
100x32;100 x 32;114.3 x 42.2;101.6
100x40;100 x 40;114.3 x 48.3;101.6
100x50;100 x 50;114.3 x 60.3;101.6
100x65;100 x 65;114.3 x 73.0;101.6
100x80;100 x 80;114.3 x 88.9;101.6
125x50;125 x 50;141.3 x 60.3;127
125x65;125 x 65;141.3 x 73.0;127
125x80;125 x 80;141.3 x 88.9;127
125x100;125 x 100;141.3 x 114.3;127
150x50;150 x 50;168.3 x 60.3;139.7
150x65;150 x 65;168.3 x 73.0;139.7
150x80;150 x 80;168.3 x 88.9;139.7
150x90;150 x 90;168.3 x 101.6;139.7
150x100;150 x 100;168.3 x 114.3;139.7
150x125;150 x 125;168.3 x 141.3;139.7
200x80;200 x 80;219.1 x 88.9;152.4
200x90;200 x 90;219.1 x 101.6;152.4
200x100;200 x 100;219.1 x 114.3;152.4
200x125;200 x 125;219.1 x 141.3;152.4
200x150;200 x 150;219.1 x 168.3;152.4
250x80;250 x 80;273.0 x 88.9;177.8
250x100;250 x 100;273.0 x 114.3;177.8
250x125;250 x 125;273.0 x 141.3;177.8
250x150;250 x 150;273.0 x 168.3;177.8
250x200;250 x 200;273.0 x 219.1;177.8
300x100;300 x 100;323.9 x 114.3;203.2
300x125;300 x 125;323.9 x 141.3;203.2
300x150;300 x 150;323.9 x 168.3;203.2
300x200;300 x 200;323.9 x 219.1;203.2
300x250;300 x 250;323.9 x 273.0;203.2
350x150;350 x 150;355.6 x 168.3;330.2
350x200;350 x 200;355.6 x 219.1;330.2
350x250;350 x 250;355.6 x 273.0;330.2
350x300;350 x 300;355.6 x 323.9;330.2
400x200;400 x 200;406.4 x 219.1;355.6
400x250;400 x 250;406.4 x 273.0;355.6
400x300;400 x 300;406.4 x 323.9;355.6
400x350;400 x 350;406.4 x 355.6;355.6
450x300;450 x 300;457.2 x 323.9;381
450x350;450 x 350;457.2 x 355.6;381
450x400;450 x 400;457.2 x 406.4;381
500x350;500 x 350;508.0 x 355.6;508
500x400;500 x 400;508.0 x 406.4;508
500x450;500 x 450;508.0 x 457.2;508
600x400;600 x 400;609.6 x 406.4;508
600x450;600 x 450;609.6 x 457.2;508
600x500;600 x 500;609.6 x 508.0;508
